Source Name,Req Core,Req GHz,Req Mem GB,Req OS,price-model,Req Disk GB,Req IOPs,Req MBps,Req BU Day,Instance Type,OS,Pricing Model,vCPUs,Mem GB,EC2 Hourly,EC2 Monthly,EBS GB,EBS Type,EBS Monthly,BU GB,BU Monthly,Total Monthly
VM Source 01,1,,0.5,Linux,on-demand,200.0,3000,125,7.0,t4g.nano,Linux,on-demand,2,0.5,0.0053,3.8689999999999998,200.0,GP3,16.0,214.0,10.700000000000001,30.569000000000003
VM Source 02,1,,0.5,Windows,RI-1Y-NUF,0.5,100,250,7.0,t3a.nano,Windows,RI-1Y-NUF,2,0.5,0.0083,6.059,0.5,GP3,6.04,0.535,0.026750000000000003,12.12575
VM Source 03,2,2.2,4.0,Windows,RI-1Y-PUF,1000.0,100000,1000,7.0,c6i.24xlarge,Windows,RI-1Y-PUF,96,192.0,2.973557990867579,2170.6973333333326,1000.0,IO2,7337.999999999999,1070.0,53.5,9562.197333333332
VM Source 04,3,,6.0,RHEL,RI-1Y-AUF,100.0,100,750,7.0,c6gn.xlarge,RHEL,RI-1Y-AUF,4,8.0,0.176598173515981,128.91666666666615,100.0,GP3,38.0,107.0,5.35,172.26666666666614
VM Source 05,4,2.1,4.0,SLES,RI-3Y-NUF,20000.0,3000,1000,7.0,c6i.xlarge,SLES,RI-3Y-NUF,4,8.0,0.13391,97.7543,20000.0,IO2,2976.0000000000005,21400.0,1070.0,4143.7543000000005
VM Source 06,1,,4.0,Windows,RI-3Y-PUF,100.0,256000,125,14.0,x2idn.24xlarge,Windows,RI-3Y-PUF,96,1536.0,4.308209589041096,3144.993,100.0,IO2,18445.8,114.00000000000001,5.700000000000001,21596.493
VM Source 07,2,,6.0,Linux,RI-3Y-AUF,200.0,3000,250,14.0,t4g.large,Linux,RI-3Y-AUF,2,8.0,0.031316590563165,22.86111111111045,200.0,GP3,22.0,228.00000000000003,11.400000000000002,56.26111111111045
VM Source 08,4,,8.0,Linux,RIC-1Y-NUF,0.5,10000,1000,14.0,c6i.xlarge,Linux,RIC-1Y-NUF,4,8.0,0.14877,108.60210000000001,0.5,GP3,84.03999999999999,0.5700000000000001,0.0285,192.6706
VM Source 09,2,,10.0,RHEL HA,RIC-1Y-PUF,0.0,0,0,14.0,r6g.large,RHEL HA,RIC-1Y-PUF,2,16.0,0.17558538812785301,128.1773333333327,0.0,GP3,0.0,0.0,0.0,128.1773333333327
VM Source 10,24,,1024.0,SLES,RIC-1Y-AUF,1500.0,100,1000,14.0,r6i.metal,SLES,RIC-1Y-AUF,128,1024.0,6.638013698630137,4845.75,1500.0,GP3,162.0,1710.0000000000002,85.50000000000001,5093.25
VM Source 11,32,,2048.0,Windows,RIC-3Y-NUF,20000.0,3000,1000,30.0,x2iedn.16xlarge,Windows,RIC-3Y-NUF,64,2048.0,10.40112,7592.8176,20000.0,IO2,2976.0000000000005,26000.0,1300.0,11868.8176
VM Source 12,64,,2500.0,Windows,RIC-3Y-PUF,100.0,256000,100,30.0,x2iedn.32xlarge,Windows,RIC-3Y-PUF,128,4096.0,19.69748429223744,14379.163533333332,100.0,IO2,18445.8,130.0,6.5,32831.46353333333
VM Source 13,100,,3000.0,SLES,RIC-3Y-AUF,20000.0,1000,50,30.0,x1e.32xlarge,SLES,RIC-3Y-AUF,128,3904.0,13.004680365296805,9493.416666666668,20000.0,IO2,2832.0000000000005,26000.0,1300.0,13625.416666666668
Total,240,,8615.0,,,63201.0,635300,6650,,,,,660,12849.0,57.702846088280054,42123.07764444445,63201.0,,53341.67999999999,76974.105,3848.70525,99313.46289444444
